_;SMPTE Metadata Elements Dictionary;;;;;;;;;;;;;
_;Published version 13 as of 2012-02-14;;;;;;;;;;;;;
_ver;Published;13;;;;;;;;;;;;
_;;499;Nodes in this Register;;;;;;;;;;;
_;;1476;Leaves in this Register;;;;;;;;;;;
_;Register;Dictionary Version at introduction;Node or
;Elements;1;Node;3;06.0E.2B.34.01.01.01.01.01.01.20.00.00.00.00.00;Device Identifiers;Unique identifiers for any device used in program production, such as cameras, microphones, editing, color grading, etc;;;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.20.01.00.00.00.00;Device Designation;Identifies the "house name" of the device used in capturing or generating the essence;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 chars max;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.20.03.00.00.00.00;Device Model;Identifies the device model used in capturing or generating the essence.;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 chars max;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.20.04.00.00.00.00;Device Serial Number;Alphanumeric serial number identifying the individual device;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 chars max;;;;;
;Elements;2;Leaf;4;06.0E.2B.34.01.01.01.02.01.01.20.05.00.00.00.00;IEEE Device ID;Hex number identifying a device by manufacturer and device number;String of UInt8;6 bytes;;;;IEEE 802 - Network Node ID;
;Elements;3;Leaf;4;06.0E.2B.34.01.01.01.03.01.01.20.07.00.00.00.00;Device ID Kind;The type of identifier used to identify the device;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;4 bytes;;;;;
;Elements;3;Leaf;4;06.0E.2B.34.01.01.01.03.01.01.20.08.00.00.00.00;Device Kind;Device Type expressed as a common name - e.g. camera, audio tape recorder, RAM, Hard disk etc;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;127 bytes max;;;;;
;Elements;5;Leaf;5;06.0E.2B.34.01.01.01.05.01.01.20.08.01.00.00.00;Device Kind;Defines the kind of device used to capture or create the content (as either a commonly known name or as a locally defined name, e.g. Radio-camera);UTF-16 char string;Variable;;;;;
;Elements;3;Leaf;5;06.0E.2B.34.01.01.01.03.01.01.20.08.02.00.00.00;Device Kind Code;Device Type expressed as a code;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;4 chars max;;;;;
;Elements;5;Leaf;4;06.0E.2B.34.01.01.01.05.01.01.20.0C.00.00.00.00;Device Asset Number;Defines the asset number of the device used in capturing or generating the content;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 bytes;;;;;
;Elements;3;Node;3;06.0E.2B.34.01.01.01.03.01.01.21.00.00.00.00.00;Platform Identifiers;Organisationally given identifiers for platforms, vehicles, or mounts carrying devices or sensors;;;;;;;
;Elements;3;Leaf;4;06.0E.2B.34.01.01.01.03.01.01.21.01.00.00.00.00;Platform Designation;Identifies the generic name of the platform carrying the device used in capturing or generating the essence;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 bytes max;;;;;
;Elements;9;Leaf;5;06.0E.2B.34.01.01.01.09.01.01.21.01.01.00.00.00;Platform Designation;Identifies the generic name of the platform carrying the device used in capturing or generating the essence;16-bit Unicode String;Variable;;;;;
;Elements;3;Leaf;4;06.0E.2B.34.01.01.01.03.01.01.21.02.00.00.00.00;Platform Model;Identifies the platform model carrying the device used in capturing or generating the essence.;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 bytes max;;;;;
;Elements;3;Leaf;4;06.0E.2B.34.01.01.01.03.01.01.21.03.00.00.00.00;Platform Serial Number;Alphanumeric serial number identifying the individual platform carrying the device used in capturing or generating the essence.;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 bytes max;;;;;
;Elements;1;Node;2;06.0E.2B.34.01.01.01.01.01.02.00.00.00.00.00.00;Globally Unique Locators;Globally Unique path definitions;;;;;;;
;Elements;1;Node;3;06.0E.2B.34.01.01.01.01.01.02.01.00.00.00.00.00;Uniform Resource Locators;Unique Resource Locators;;;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.02.01.01.00.00.00.00;URL;Unique Resource Locator String;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;255 bytes max;;;;;
;Elements;1;Leaf;5;06.0E.2B.34.01.01.01.01.01.02.01.01.01.00.00.00;URL;Unique Resource Locator String;16-bit Unicode String;variable 255 chars max.;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.02.01.02.00.00.00.00;PURL;Persistent Universal Resource Locator;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;255 bytes max;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.02.01.03.00.00.00.00;URN;Unique Resource Name;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;256 bytes max;;;;;
;Elements;8;Leaf;4;06.0E.2B.34.01.01.01.08.01.02.01.04.00.00.00.00;Default Namespace URI;The Uniform Resource Identifier (URI) of the default namespace for an XML document;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;variable;;;;http://www.w3.org/TR/1999/REC-xml-names-19990114;
;Elements;8;Leaf;5;06.0E.2B.34.01.01.01.08.01.02.01.04.01.00.00.00;Default Namespace URI;The Uniform Resource Identifier (URI) of the default namespace for an XML document;16-bit Unicode String;variable;;;;http://www.w3.org/TR/1999/REC-xml-names-19990114;
;Elements;8;Leaf;4;06.0E.2B.34.01.01.01.08.01.02.01.05.00.00.00.00;Namespace URI;A URI associated with a Namespace Prefix used in Qnames in an XML document;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;Variable;;;;http://www.w3.org/TR/1999/REC-xml-names-19990114;
;Elements;8;Leaf;5;06.0E.2B.34.01.01.01.08.01.02.01.05.01.00.00.00;Namespace URI;A URI associated with a Namespace Prefix used in Qnames in an XML document;16-bit Unicode String;Variable;;;;http://www.w3.org/TR/1999/REC-xml-names-19990114;
;Elements;8;Leaf;4;06.0E.2B.34.01.01.01.08.01.02.01.06.00.00.00.00;Namespace URIs;A list of URIs associated with Namespace Prefixes used in Qnames in an XML document;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;Variable;;;;http://www.w3.org/TR/1999/REC-xml-names-19990114;
;Elements;8;Leaf;5;06.0E.2B.34.01.01.01.08.01.02.01.06.01.00.00.00;Namespace URIs;A list of URIs associated with Namespace Prefixes used in Qnames in an XML document;16-bit Unicode String Array;Variable;;;;http://www.w3.org/TR/1999/REC-xml-names-19990114;
;Elements;13;Leaf;5;06.0E.2B.34.01.01.01.0D.01.02.01.08.02.00.00.00;Camera Setting File URI;The Uniform Resource Identifier (URI) of the file containing the camera setup parameters.;UTF-8 String;Variable;;;;RDD 18;
;Elements;4;Node;3;06.0E.2B.34.01.01.01.04.01.02.02.00.00.00.00.00;Registry Locators;Unique Registry Locators;;;;;;;
;Elements;4;Leaf;4;06.0E.2B.34.01.01.01.04.01.02.02.01.00.00.00.00;SMPTE UL;SMPTE Universal Label Locators - the value is a UL in a public Registry;Universal Label;16 bytes;;;;;
;Elements;5;Leaf;4;06.0E.2B.34.01.01.01.05.01.02.02.02.00.00.00.00;Identification UL;Specifies the Universal Label that locates the identification kind in a dictionary.;Universal Label;16 bytes;;;;;
;Elements;5;Leaf;4;06.0E.2B.34.01.01.01.05.01.02.02.03.00.00.00.00;Operational Pattern UL;Specifies the SMPTE Universal Label that locates an Operational Pattern;Universal Label;16 bytes;;;;;
;Elements;4;Node;4;06.0E.2B.34.01.01.01.04.01.02.02.10.00.00.00.00;Registry Locator Groups;Groups of Unique Registry Locators;;;;;;;
;Elements;4;Node;5;06.0E.2B.34.01.01.01.04.01.02.02.10.01.00.00.00;Registry Locator Ordered Group (Arrays);Ordered Group (Array) of Unique Registry Locators;;;;;;;
;Elements;4;Leaf;6;06.0E.2B.34.01.01.01.04.01.02.02.10.01.01.00.00;Essence Container Array;An array of 'n' universal labels of all essence containers in the file;Array of Universal Labels;16*n;;;;;
;Elements;5;Node;5;06.0E.2B.34.01.01.01.05.01.02.02.10.02.00.00.00;Registry Locator Unordered Groups;Unordered Groups of Unique Registry Locators;;;;;;;
;Elements;5;Leaf;6;06.0E.2B.34.01.01.01.05.01.02.02.10.02.01.00.00;Essence Containers;A batch of 'n' universal labels of all essence containers in the file;Batch of Universal Labels;16*n;;;;Type as defined in SMPTE 377M;
